Simulated annealing: Cycle 1

Iter         T              F        Inc    Acc
 460    7.5849E-016    1.3009E-015   106    37
 461    6.8264E-016    1.6203E-015   113    43
 462    6.1438E-016    2.9615E-016   114    36
 463    5.5294E-016    1.2624E-017   113    36
 464    4.9765E-016    9.0921E-018   111    38
 465    4.4788E-016    3.5084E-016   121    35
 466    4.0309E-016    1.5395E-016   105    38
 467    3.6278E-016    5.0917E-016   118    34
 468    3.2651E-016    6.8640E-016   112    35
 469    2.9385E-016    9.4218E-016   114    41
 470    2.6447E-016    1.2176E-016   116    43
 471    2.3802E-016    1.9699E-016   113    35
 472    2.1422E-016    4.9571E-017   113    40
 473    1.9280E-016    1.0621E-017   110    41
 474    1.7352E-016    1.7772E-016   110    35
 475    1.5617E-016    9.3847E-017   119    39
 476    1.4055E-016    2.0477E-016   106    40
 477    1.2649E-016    3.1864E-017   111    32
 478    1.1385E-016    8.1510E-016   108    40
 479    1.0246E-016    5.4546E-017   111    33
 480    9.2215E-017    9.5644E-018   114    37
 481    8.2993E-017    7.2058E-017   114    34
 482    7.4694E-017    7.1873E-017   117    39
 483    6.7225E-017    1.7499E-017   105    33
 484    6.0502E-017    3.7670E-017   116    34
 485    5.4452E-017    4.3370E-017   113    36
 486    4.9007E-017    5.5877E-017   113    39
 487    4.4106E-017    3.6123E-017   110    38
 488    3.9695E-017    5.2019E-017   112    36
 489    3.5726E-017    6.8689E-017   108    37
 490    3.2153E-017    3.4277E-017   111    34
 491    2.8938E-017    8.7347E-018   111    38
 492    2.6044E-017    1.0279E-017   111    43
 493    2.3440E-017    4.2155E-017   115    35
 494    2.1096E-017    1.2337E-017   109    39
 495    1.8986E-017    4.5776E-018   116    41
 496    1.7088E-017    1.9271E-018   114    37
 497    1.5379E-017    2.0133E-017   112    35
 498    1.3841E-017    3.9446E-017   116    34
 499    1.2457E-017    1.3190E-017   109    32
 500    1.1211E-017    1.6369E-017   110    39
 501    1.0090E-017    3.4773E-018   119    33
 502    9.0810E-018    3.7335E-018   113    39
 503    8.1729E-018    3.6293E-017   114    39
 504    7.3556E-018    1.7427E-018   109    31
 505    6.6201E-018    1.6640E-017   111    43
 506    5.9581E-018    1.5056E-017   116    37
 507    5.3623E-018    1.4712E-018   107    30
 508    4.8260E-018    7.1767E-019   117    33
 509    4.3434E-018    2.1518E-018   109    39
 510    3.9091E-018    2.1828E-018   108    33
 511    3.5182E-018    2.7891E-018   115    38
 512    3.1664E-018    9.7928E-018   112    37
 513    2.8497E-018    2.3880E-019   111    37
 514    2.5648E-018    5.5295E-020   112    36
 515    2.3083E-018    1.6078E-018   114    35
 516    2.0775E-018    3.0543E-018   114    38
 517    1.8697E-018    1.3230E-018   113    39
 518    1.6827E-018    1.8138E-018   108    41
 519    1.5145E-018    1.5243E-019   115    36
 520    1.3630E-018    2.1586E-018   115    43
 521    1.2267E-018    9.9684E-019   117    35
 522    1.1040E-018    6.1388E-019   115    36
 523    9.9364E-019    7.6842E-020   110    37
 524    8.9427E-019    6.4287E-019   111    42
 525    8.0485E-019    1.3785E-018   107    33
 526    7.2436E-019    2.3821E-019   116    37
 527    6.5193E-019    1.4985E-019   112    35
 528    5.8673E-019    9.1744E-019   106    38
 529    5.2806E-019    1.0451E-019   116    38
 530    4.7525E-019    9.1141E-020   114    41
 531    4.2773E-019    4.5091E-019   111    37
 532    3.8496E-019    1.5988E-019   114    44
 533    3.4646E-019    5.4162E-019   116    35
 534    3.1181E-019    2.7718E-019   113    37
 535    2.8063E-019    8.2673E-021   110    38
 536    2.5257E-019    2.7919E-019   120    44
 537    2.2731E-019    2.1343E-019   124    43
 538    2.0458E-019    3.0188E-020   107    39
 539    1.8412E-019    2.8731E-019   115    37
 540    1.6571E-019    1.1269E-019   112    36
 541    1.4914E-019    7.7042E-020   113    38
 542    1.3423E-019    1.0854E-019   113    34
 543    1.2080E-019    2.6332E-019   113    37
 544    1.0872E-019    6.2968E-021   112    37
 545    9.7851E-020    3.4214E-019   114    38
 546    8.8066E-020    5.3667E-020   109    42
 547    7.9259E-020    1.1688E-019   116    35
 548    7.1333E-020    3.2655E-020   113    35
 549    6.4200E-020    8.9875E-021   110    39
 550    5.7780E-020    8.0519E-021   115    40
 551    5.2002E-020    1.0507E-020   114    39
 552    4.6802E-020    2.1385E-020   114    37
 553    4.2121E-020    7.6261E-020   114    36
 554    3.7909E-020    2.6114E-020   111    42
 555    3.4118E-020    7.9663E-020   113    42
 556    3.0707E-020    1.7684E-020   116    35
 557    2.7636E-020    4.5920E-020   109    38
 558    2.4872E-020    6.8115E-021   118    37
 559    2.2385E-020    1.6369E-020   118    36
 560    2.0147E-020    5.1940E-020   111    45
 561    1.8132E-020    3.5446E-020   114    32
 562    1.6319E-020    3.6952E-022   116    36
 563    1.4687E-020    5.4716E-021   113    37
 564    1.3218E-020    2.3197E-021   115    35
 565    1.1896E-020    8.1221E-021   114    40
 566    1.0707E-020    1.5064E-021   115    37
 567    9.6360E-021    1.1617E-020   117    49
 568    8.6724E-021    1.4501E-020   115    37
 569    7.8052E-021    1.0683E-020   111    32
 570    7.0247E-021    2.0226E-021   118    37
 571    6.3222E-021    3.8150E-021   108    38
 572    5.6900E-021    1.6597E-022   119    33
 573    5.1210E-021    2.8793E-021   108    39
 574    4.6089E-021    2.1976E-021   107    29
 575    4.1480E-021    4.5348E-021   117    41
 576    3.7332E-021    1.3000E-022   114    35
 577    3.3599E-021    4.5006E-021   105    39
 578    3.0239E-021    3.3646E-022   114    32
 579    2.7215E-021    3.0577E-022   112    38
 580    2.4494E-021    1.8216E-021   113    43
 581    2.2044E-021    5.3405E-021   113    34
 582    1.9840E-021    5.8097E-022   111    36
 583    1.7856E-021    3.6872E-022   111    37
 584    1.6070E-021    2.2306E-021   116    38
 585    1.4463E-021    8.9160E-022   112    35
 586    1.3017E-021    4.1632E-021   113    35
 587    1.1715E-021    3.6739E-021   117    40
 588    1.0544E-021    6.1519E-023   109    33
 589    9.4893E-022    3.9689E-022   111    36
 590    8.5404E-022    1.2602E-021   117    37
 591    7.6863E-022    7.1936E-023   101    30
 592    6.9177E-022    1.3880E-021   117    42
 593    6.2259E-022    2.6946E-022   116    43
 594    5.6033E-022    1.1054E-021   111    41
 595    5.0430E-022    2.3271E-022   111    35
 596    4.5387E-022    1.5917E-022   120    34
 597    4.0848E-022    3.0158E-022   110    38
 598    3.6763E-022    9.0716E-022   110    45
